keyword,volume,competition,competition_level,cpc,intent,opportunity,local_pa,source
co moving companies,201000,0.5,MEDIUM,32.65,navigational,100500.0,False,junk_ideas
meal delivery services,201000,1.0,HIGH,24.26,navigational,0.0,False,junk_ideas
food delivery services,165000,0.76,HIGH,14.89,navigational,39600.0,False,junk_ideas
meal kit delivery services,165000,0.05,LOW,26.38,navigational,156750.0,False,junk_ideas
removal of junk,135000,0.43,MEDIUM,14.95,navigational,76950.0,False,junk_suggestions
junk removal,135000,0.45,MEDIUM,15.42,navigational,74250.0,False,junk_suggestions
removal junk,135000,0.45,MEDIUM,15.42,navigational,74250.0,False,junk_suggestions
junk junk removal,135000,0.43,MEDIUM,14.95,navigational,76950.0,False,junk_suggestions
ups shipping services,135000,0.02,LOW,3.45,navigational,132300.0,False,junk_ideas
grocery delivery services,135000,0.1,LOW,12.46,navigational,121500.0,False,junk_ideas
mold removal services,110000,0.05,LOW,22.43,navigational,104500.0,False,estate_ideas
near me junk removal,110000,0.47,MEDIUM,14.22,navigational,58300.0,False,junk_suggestions
junk removal near me,110000,0.36,MEDIUM,14.45,navigational,70400.0,False,junk_suggestions
fedex shipping services,74000,0.01,LOW,2.72,navigational,73260.0,False,junk_ideas
shipping services,74000,0.1,LOW,11.23,navigational,66600.0,False,junk_ideas
junk removal services,60500,0.11,LOW,12.02,navigational,53845.0,False,estate_ideas
gutter cleaning service,60500,0.06,LOW,10.16,navigational,56870.0,False,estate_ideas
republic trash services,60500,0.21,LOW,0.82,navigational,47795.0,False,estate_ideas
junk removal service,60500,0.11,LOW,12.02,navigational,53845.0,False,junk_suggestions
junk service removal,60500,0.1,LOW,12.71,navigational,54450.0,False,junk_suggestions
trucking companies,60500,0.17,LOW,8.74,navigational,50215.0,False,junk_ideas
online grocery delivery services,60500,0.02,LOW,10.75,navigational,59290.0,False,junk_ideas
waste management jobs,40500,0.05,LOW,0.55,informational,38475.0,False,estate_ideas
online food delivery services,40500,0.38,MEDIUM,14.62,navigational,25110.0,False,junk_ideas
transportation services,40500,0.31,LOW,6.25,navigational,27945.0,False,junk_ideas
car shipping companies,40500,0.5,MEDIUM,16.49,navigational,20250.0,False,junk_ideas
residential waste management services,33100,0.0,LOW,1.82,navigational,33100.0,False,estate_ideas
furniture donation pick up,33100,0.61,MEDIUM,4.81,navigational,12909.0,False,junk_ideas
packing & shipping services,33100,0.47,MEDIUM,1.76,navigational,17543.0,False,junk_ideas
packing shipping services,33100,0.08,LOW,8.26,navigational,30452.0,False,junk_ideas
long distance moving companies,33100,0.34,MEDIUM,76.39,commercial,21846.0,False,junk_ideas
decluttering services,27100,0.1,LOW,5.87,navigational,24390.0,False,estate_ideas
removal junk companies,27100,0.09,LOW,13.25,navigational,24661.0,False,junk_suggestions
junk removal company,27100,0.09,LOW,13.25,navigational,24661.0,False,junk_suggestions
junk removal companies,27100,0.07,LOW,13.71,navigational,25203.0,False,junk_suggestions
online grocery services,27100,0.02,LOW,12.96,navigational,26558.0,False,junk_ideas
junk yards,27100,0.31,LOW,2.81,navigational,18699.0,False,junk_ideas
u haul prices,27100,0.26,LOW,6.31,informational,20054.0,False,junk_ideas
prepared meal delivery services,27100,1.0,HIGH,17.49,navigational,0.0,False,junk_ideas
moving services,27100,0.39,MEDIUM,23.91,navigational,16531.0,False,junk_ideas
trash can cleaning service,22200,0.27,LOW,3.32,commercial,16206.0,False,estate_ideas
junk removal company near me,22200,0.17,LOW,11.49,navigational,18426.0,False,junk_suggestions
full service junk removal company,22200,0.0,LOW,0.77,navigational,22200.0,False,junk_suggestions
junk removal companies near me,22200,0.23,LOW,11.37,navigational,17094.0,False,junk_suggestions
junk removal services near me,22200,0.23,LOW,11.37,navigational,17094.0,False,junk_suggestions
junk removal service near me,22200,0.23,LOW,11.37,navigational,17094.0,False,junk_suggestions
trucking services,22200,0.13,LOW,2.66,navigational,19314.0,False,junk_ideas
food and grocery delivery services,22200,0.0,LOW,19.75,navigational,22200.0,False,junk_ideas
post construction cleaning services,18100,0.2,LOW,9.53,navigational,14480.0,False,estate_ideas
interstate waste services,18100,0.11,LOW,0.4,navigational,16109.0,False,estate_ideas
cleaning services nyc,18100,0.57,MEDIUM,8.45,navigational,7783.0,False,estate_ideas
delivery services,18100,0.28,LOW,7.86,navigational,13032.0,False,junk_ideas
moving and storage services,18100,0.03,LOW,23.84,navigational,17557.0,False,junk_ideas
distribution services,18100,0.04,LOW,2.43,navigational,17376.0,False,junk_ideas
trash pickup services,14800,0.29,LOW,8.06,navigational,10508.0,False,estate_ideas
shredding services,14800,0.36,MEDIUM,7.7,navigational,9472.0,False,estate_ideas
construction cleaning services,14800,0.35,MEDIUM,9.61,navigational,9620.0,False,estate_ideas
chimney sweeping services,14800,0.03,LOW,11.37,navigational,14356.0,False,estate_ideas
loadup junk removal,14800,0.22,LOW,6.38,navigational,11544.0,False,junk_suggestions
freight house,14800,0.02,LOW,0.44,navigational,14504.0,False,junk_ideas
event cleaning services,12100,0.22,LOW,11.53,navigational,9438.0,False,estate_ideas
donate furniture with free pick up,12100,0.47,MEDIUM,4.24,commercial,6413.0,False,estate_ideas
junk cars removal,12100,0.69,HIGH,17.61,navigational,3751.0,False,junk_suggestions
1800 got-junk removal,12100,0.03,LOW,15.19,informational,11737.0,False,junk_suggestions
junk car removal,12100,0.69,HIGH,17.61,navigational,3751.0,False,junk_suggestions
car removal junk,12100,0.77,HIGH,18.18,navigational,2783.0,False,junk_suggestions
junk removal cars,12100,0.69,HIGH,17.61,navigational,3751.0,False,junk_suggestions
1 800 junk removal,12100,0.03,LOW,15.19,navigational,11737.0,False,junk_suggestions
1800 got junk removal,12100,0.03,LOW,15.19,navigational,11737.0,False,junk_suggestions
removal of junk cars,12100,0.69,HIGH,17.61,navigational,3751.0,False,junk_suggestions
car junk removal,12100,0.69,HIGH,17.61,navigational,3751.0,False,junk_suggestions
junk removal car,12100,0.77,HIGH,18.18,navigational,2783.0,False,junk_suggestions
crane services,12100,0.16,LOW,9.18,navigational,10164.0,False,junk_ideas
shipping calculator,12100,0.42,MEDIUM,3.51,navigational,7018.0,False,junk_ideas
shipping companies,12100,0.41,MEDIUM,12.12,navigational,7139.0,False,junk_ideas
garbage disposal replacement cost,9900,0.35,MEDIUM,12.21,commercial,6435.0,False,estate_ideas
cleaning services for churches,9900,0.08,LOW,17.93,navigational,9108.0,False,estate_ideas
republic services landfill,9900,0.04,LOW,2.12,navigational,9504.0,False,estate_ideas
out of state moving companies,9900,0.73,HIGH,64.65,navigational,2673.0,False,junk_ideas
international moving companies,9900,0.34,MEDIUM,27.19,navigational,6534.0,False,junk_ideas
junk yard parts,9900,0.49,MEDIUM,1.09,navigational,5049.0,False,junk_ideas
packing services,9900,0.21,LOW,16.03,navigational,7821.0,False,junk_ideas
trash removal,9900,0.19,LOW,11.27,commercial,8019.0,False,junk_ideas
